Song Name,Year,Artist,Genre,Rating,Mood,Play Count,Album,Duration,Language,Tempo,Energy,Danceability,Valence,Acousticness,Speechiness
Heart and Waves,2015,Kendrick Lamar,Hip-Hop,5.0,Happy,45,Lamar Sessions Vol. 6,190,English,104.4,0.712,0.65,0.704,0.139,0.411
Memories and Moon,2003,Bad Bunny,Latin,3.89,Romantic,48,Bunny Sessions Vol. 6,282,Spanish,111.4,0.414,0.787,0.708,0.248,0.069
Waves of Paradise,2021,Kendrick Lamar,Hip-Hop,3.41,Melancholic,102,Lamar Sessions Vol. 6,212,English,109.4,0.496,0.718,0.493,0.089,0.261
Home and Dreams (Hip-Hop),1997,Nicki Minaj,Hip-Hop,5.0,Melancholic,30,Minaj Sessions Vol. 4,266,English,76.4,0.66,0.598,0.561,0.0,0.032
Night of Run,2003,A.R. Rahman,Bollywood,5.0,Romantic,13,Rahman Sessions Vol. 1,177,Hindi,85.0,0.526,0.681,0.963,0.173,0.035
Gravity of Light (Electronic),2011,Zedd,Electronic,4.87,Calm,11,Zedd Sessions Vol. 6,205,Instrumental,135.1,0.901,0.531,0.553,0.091,0.05
Waves for Paradise,2006,Sonu Nigam,Bollywood,4.4,Calm,34,Nigam Sessions Vol. 2,193,Hindi,147.1,0.682,0.587,0.428,0.32,0.119
River of Glow,1998,BLACKPINK,K-Pop,4.76,Chill,30,BLACKPINK Sessions Vol. 3,224,Korean,116.0,0.86,0.905,0.577,0.501,0.038
BLACKPINK's Heart for Stars,2001,BLACKPINK,K-Pop,4.24,Happy,11,BLACKPINK Sessions Vol. 1,285,Korean,126.5,0.707,0.698,0.743,0.188,0.089
Alone in Feel,2013,Diana Krall,Jazz,3.75,Chill,5,Krall Sessions Vol. 4,194,Instrumental,78.9,0.613,0.405,0.184,0.157,0.0
Waves in Stars,2024,Avicii,Electronic,4.09,Happy,20,Avicii Sessions Vol. 2,294,Instrumental,117.4,0.84,0.742,0.769,0.0,0.004
Rush for Dance,2008,Marshmello,Electronic,4.01,Chill,19,Marshmello Sessions Vol. 3,243,English,151.7,0.947,0.692,0.541,0.01,0.033
Feel in Sky,2018,Phoebe Bridgers,Indie,3.52,Romantic,9,Bridgers Sessions Vol. 5,243,English,66.8,0.566,0.381,0.676,0.484,0.094
Feel with Fire,2024,Lorde,Indie,3.21,Happy,12,Lorde Sessions Vol. 3,173,English,127.3,0.804,0.77,0.591,0.894,0.109
Paradise the Storm (Bollywood),1998,Shreya Ghoshal,Bollywood,4.85,Melancholic,19,Ghoshal Sessions Vol. 4,209,Hindi,149.6,0.576,0.693,0.254,0.487,0.064
Glow and Gravity,2018,Dua Lipa,Pop,4.71,Happy,32,Lipa Sessions Vol. 4,151,English,129.8,0.768,0.739,1.0,0.376,0.055
Hold in Stars,2008,Avicii,Electronic,4.42,Motivational,31,Avicii Sessions Vol. 5,202,Instrumental,137.3,1.0,0.774,0.52,0.051,0.042
Feel for Horizon,2005,Drake,Hip-Hop,4.1,Sad,38,Drake Sessions Vol. 3,120,English,82.8,0.663,0.699,0.613,0.368,0.344
Echoes to Storm,1996,Kendrick Lamar,Hip-Hop,4.42,Romantic,14,Lamar Sessions Vol. 4,245,English,82.4,0.607,0.674,0.365,0.012,0.352
Run to Echoes,2011,Taylor Swift,Pop,4.93,Happy,13,Swift Sessions Vol. 4,226,English,109.7,0.882,0.969,0.815,0.164,0.103
Moon of Echoes (Rock),1994,Red Hot Chili Peppers,Rock,4.05,Energetic,10,Peppers Sessions Vol. 6,202,English,72.9,0.775,0.448,0.26,0.091,0.018
Echoes to Sun,1999,Shreya Ghoshal,Bollywood,3.75,Melancholic,24,Ghoshal Sessions Vol. 3,158,Hindi,122.2,0.406,0.718,0.47,0.549,0.073
Run in Gravity (Hip-Hop),2011,Kendrick Lamar,Hip-Hop,4.35,Motivational,13,Lamar Sessions Vol. 6,138,English,86.9,0.863,0.561,0.618,0.037,0.431
Rush and Waves,2016,Lorde,Indie,3.79,Calm,4,Lorde Sessions Vol. 6,257,English,101.3,0.379,0.743,0.481,0.502,0.13
Home with Fire,1995,Dua Lipa,Pop,3.94,Chill,12,Lipa Sessions Vol. 6,203,English,119.4,0.714,0.621,0.462,0.246,0.009
Heart of Fire,2015,SEVENTEEN,K-Pop,3.77,Chill,5,SEVENTEEN Sessions Vol. 1,261,Korean,92.6,0.5,0.59,0.486,0.359,0.042
Rush the Fire,2010,Ariana Grande,Pop,5.0,Happy,30,Grande Sessions Vol. 5,157,English,116.7,0.67,0.626,0.805,0.091,0.126
Feel for Echoes,2024,BLACKPINK,K-Pop,3.77,Happy,17,BLACKPINK Sessions Vol. 2,276,Korean,111.8,0.807,0.753,0.893,0.16,0.191
Run with Moon (K-Pop),1994,BLACKPINK,K-Pop,3.94,Chill,51,BLACKPINK Sessions Vol. 4,227,Korean,70.0,0.606,0.567,0.626,0.233,0.05
Glow to Fire (Pop),1998,Taylor Swift,Pop,3.55,Romantic,38,Swift Sessions Vol. 4,120,English,110.5,0.662,0.725,0.46,0.025,0.032
Storm in Fire,2012,Diana Krall,Jazz,4.31,Calm,10,Krall Sessions Vol. 1,228,Instrumental,100.5,0.37,0.444,0.53,0.571,0.0
Night for Moon,2003,Red Hot Chili Peppers,Rock,4.21,Energetic,7,Peppers Sessions Vol. 3,214,English,157.4,0.796,0.68,0.362,0.18,0.0
Heart and Again,1997,Imagine Dragons,Rock,4.61,Romantic,3,Dragons Sessions Vol. 4,296,English,123.7,0.699,0.739,0.53,0.089,0.027
Run to River,2012,The Weeknd,Pop,4.68,Calm,8,Weeknd Sessions Vol. 5,275,English,103.9,0.78,0.571,0.504,0.0,0.044
Alone of Stars,2004,Taylor Swift,Pop,4.29,Sad,123,Swift Sessions Vol. 1,236,English,138.8,0.547,0.504,0.675,0.101,0.098
Light to Moon,2012,Diana Krall,Jazz,3.28,Calm,73,Krall Sessions Vol. 3,266,Instrumental,97.0,0.432,0.546,0.155,0.685,0.049
Marshmello's Forever the Silence (Electronic),2005,Marshmello,Electronic,3.64,Energetic,8,Marshmello Sessions Vol. 4,135,English,119.1,0.78,0.725,0.423,0.073,0.016
Rush the Dance,2005,Ariana Grande,Pop,4.23,Chill,49,Grande Sessions Vol. 5,228,English,94.9,0.604,0.844,0.615,0.308,0.03
Rush to Night (Latin),1995,Shakira,Latin,3.73,Happy,14,Shakira Sessions Vol. 1,250,Spanish,88.4,0.809,0.5,0.92,0.354,0.0
Gravity of Feel (Rock),1996,Linkin Park,Rock,4.22,Chill,135,Park Sessions Vol. 4,206,English,96.1,0.635,0.464,0.534,0.053,0.024
Dreams to River,2002,Kamasi Washington,Jazz,3.95,Calm,158,Washington Sessions Vol. 1,245,English,134.2,0.394,0.35,0.654,0.769,0.06
Feel of Waves,2014,Shakira,Latin,4.54,Calm,18,Shakira Sessions Vol. 2,180,Spanish,98.9,0.73,0.499,0.623,0.152,0.073
Light the Again,2018,Taylor Swift,Pop,3.89,Happy,24,Swift Sessions Vol. 3,216,English,109.3,0.731,0.824,0.736,0.447,0.043
Gravity in Paradise,1998,Yiruma,Classical,3.84,Sad,30,Yiruma Sessions Vol. 4,210,Instrumental,89.2,0.338,0.339,0.095,0.849,0.025
Dance and Sun (Electronic),2020,David Guetta,Electronic,4.0,Romantic,15,Guetta Sessions Vol. 2,178,Instrumental,110.4,0.714,0.85,0.379,0.118,0.061
Forever to Memories,2012,Shakira,Latin,3.81,Sad,35,Shakira Sessions Vol. 6,241,Spanish,111.4,0.601,0.809,0.433,0.186,0.113
Memories for Hold,2017,SEVENTEEN,K-Pop,5.0,Happy,48,SEVENTEEN Sessions Vol. 1,191,Korean,105.6,0.959,0.745,0.715,0.134,0.089
Glow for Echoes (K-Pop),2004,TWICE,K-Pop,4.15,Chill,6,TWICE Sessions Vol. 2,246,Korean,120.7,0.579,0.746,0.601,0.179,0.085
Dreams with Again,1993,Jamie Cullum,Jazz,4.77,Chill,59,Cullum Sessions Vol. 3,233,English,81.7,0.57,0.378,0.605,0.585,0.005
Again the Feel (Hip-Hop),1992,Travis Scott,Hip-Hop,4.63,Calm,23,Scott Sessions Vol. 5,127,English,84.4,0.387,0.926,0.422,0.152,0.288
Paradise to Rush,1991,SEVENTEEN,K-Pop,3.81,Energetic,76,SEVENTEEN Sessions Vol. 1,161,Korean,92.5,0.791,0.701,0.368,0.038,0.027
Storm with Storm (Pop),1997,Olivia Rodrigo,Pop,4.24,Calm,26,Rodrigo Sessions Vol. 5,131,English,129.1,0.802,0.723,0.629,0.47,0.129
Hold of Heart,1998,Rosalía,Latin,4.5,Happy,10,Rosalía Sessions Vol. 6,203,Spanish,85.1,0.717,0.81,0.964,0.251,0.137
Silence and Light (Hip-Hop),2005,Travis Scott,Hip-Hop,5.0,Motivational,107,Scott Sessions Vol. 6,200,English,106.8,0.816,0.678,0.667,0.143,0.27
Dreams of Memories (Pop),2025,Dua Lipa,Pop,3.73,Chill,75,Lipa Sessions Vol. 2,180,English,80.2,0.545,0.479,0.503,0.151,0.019
Alone and Light,2001,Kendrick Lamar,Hip-Hop,4.76,Energetic,12,Lamar Sessions Vol. 6,247,English,80.7,0.852,0.564,0.483,0.251,0.308
Heart for Roads,1995,Yiruma,Classical,4.75,Sad,53,Yiruma Sessions Vol. 4,197,Instrumental,84.1,0.257,0.195,0.144,0.964,0.035
Dance the Gravity,2005,Norah Jones,Jazz,3.38,Melancholic,74,Jones Sessions Vol. 1,228,English,137.7,0.435,0.522,0.437,0.67,0.074
Alone of Roads,2012,Kamasi Washington,Jazz,3.8,Chill,15,Washington Sessions Vol. 4,183,English,94.5,0.537,0.409,0.462,0.463,0.041
Love of Roads,2024,BLACKPINK,K-Pop,3.98,Romantic,43,BLACKPINK Sessions Vol. 3,186,Korean,94.4,0.775,1.0,0.572,0.034,0.149
Hold and Roads,2012,Arctic Monkeys,Indie,3.72,Melancholic,21,Monkeys Sessions Vol. 2,238,English,85.0,0.552,0.575,0.406,0.458,0.0
Drake's Home to Gravity (Hip-Hop),2008,Drake,Hip-Hop,4.22,Happy,47,Drake Sessions Vol. 3,187,English,111.7,0.714,0.823,0.774,0.0,0.268
Hold of Forever,1991,The 1975,Indie,4.31,Chill,8,1975 Sessions Vol. 1,200,English,88.9,0.623,0.531,0.188,0.379,0.077
Run with Heart (Rock),2000,Imagine Dragons,Rock,3.77,Energetic,3,Dragons Sessions Vol. 1,157,English,140.5,0.89,0.516,0.196,0.0,0.07
Night in Dance,2018,Nicki Minaj,Hip-Hop,3.56,Happy,31,Minaj Sessions Vol. 5,218,English,89.9,0.886,0.451,0.525,0.21,0.283
Echoes for Paradise,2011,Avicii,Electronic,4.63,Melancholic,40,Avicii Sessions Vol. 5,210,English,149.3,0.741,0.779,0.657,0.036,0.037
Waves of Roads (Classical),2007,Max Richter,Classical,4.16,Sad,69,Richter Sessions Vol. 3,257,Instrumental,60.0,0.161,0.258,0.08,1.0,0.007
Dance in Glow,2012,Kamasi Washington,Jazz,4.07,Chill,21,Washington Sessions Vol. 3,198,Instrumental,104.7,0.441,0.701,0.601,0.489,0.068
Love in Dreams,2000,Diana Krall,Jazz,4.0,Calm,32,Krall Sessions Vol. 2,229,Instrumental,97.5,0.384,0.463,0.489,0.669,0.042
Again in Hold,1994,J. Cole,Hip-Hop,4.13,Happy,15,Cole Sessions Vol. 4,257,English,95.0,0.724,0.604,0.809,0.12,0.043
Glow in Run,1995,TWICE,K-Pop,4.15,Chill,21,TWICE Sessions Vol. 5,184,Korean,90.0,0.646,0.795,0.518,0.406,0.011
Ariana's Glow with Sun,2007,Ariana Grande,Pop,4.14,Romantic,7,Grande Sessions Vol. 6,199,English,141.6,0.556,0.627,0.861,0.391,0.071
Sun with Dance,2000,Norah Jones,Jazz,3.63,Romantic,30,Jones Sessions Vol. 3,266,Instrumental,120.9,0.36,0.297,0.735,0.843,0.07
Light for Fire,2013,Arijit Singh,Bollywood,3.33,Chill,23,Singh Sessions Vol. 3,266,Hindi,108.2,0.591,0.601,0.453,0.364,0.06
Forever and Storm,2020,Calvin Harris,Electronic,4.49,Happy,126,Harris Sessions Vol. 2,210,Instrumental,152.5,0.743,0.685,0.781,0.099,0.015
Rush of Night,2013,Shreya Ghoshal,Bollywood,4.15,Romantic,26,Ghoshal Sessions Vol. 1,189,Hindi,119.6,0.446,0.678,0.74,0.428,0.105
Echoes to Heart,2001,BLACKPINK,K-Pop,4.91,Happy,9,BLACKPINK Sessions Vol. 5,152,Korean,127.3,0.699,0.403,0.787,0.0,0.147
Silence with Home,2023,Phoebe Bridgers,Indie,3.86,Romantic,11,Bridgers Sessions Vol. 2,211,English,109.0,0.361,0.556,0.776,0.112,0.093
Run in Night,2007,Foo Fighters,Rock,4.11,Happy,24,Fighters Sessions Vol. 5,234,English,122.5,0.822,0.647,0.562,0.055,0.036
Home for Feel,2025,Rosalía,Latin,4.51,Happy,28,Rosalía Sessions Vol. 1,173,Spanish,118.2,0.698,0.656,0.807,0.189,0.012
Sun with Feel,1999,The Weeknd,Pop,5.0,Energetic,40,Weeknd Sessions Vol. 2,206,English,116.8,0.684,0.698,0.637,0.271,0.074
Stars for Echoes,2025,A.R. Rahman,Bollywood,4.2,Happy,15,Rahman Sessions Vol. 6,162,Hindi,101.6,0.675,0.675,0.854,0.547,0.025
Again with Paradise,1990,Calvin Harris,Electronic,4.2,Happy,28,Harris Sessions Vol. 1,151,Instrumental,86.8,0.787,0.941,0.761,0.078,0.018
Rush in Roads,2013,Calvin Harris,Electronic,4.41,Energetic,36,Harris Sessions Vol. 4,171,English,131.4,0.793,0.769,0.27,0.045,0.043
Alone in Sun,2022,Drake,Hip-Hop,4.26,Happy,10,Drake Sessions Vol. 6,267,English,83.7,0.703,0.688,0.827,0.129,0.229
Heart and Horizon,1991,Diana Krall,Jazz,4.49,Chill,94,Krall Sessions Vol. 6,220,Instrumental,87.0,0.426,0.483,0.634,0.554,0.024
Dance for Glow (Rock),2014,Red Hot Chili Peppers,Rock,4.4,Energetic,5,Peppers Sessions Vol. 4,196,English,138.9,1.0,0.531,0.457,0.257,0.057
Paradise to Glow,2024,Marshmello,Electronic,3.98,Happy,11,Marshmello Sessions Vol. 4,200,Instrumental,117.8,0.776,1.0,0.798,0.027,0.0
Rush and Sky,2007,Linkin Park,Rock,4.6,Energetic,30,Park Sessions Vol. 4,228,English,129.1,0.914,0.403,0.428,0.124,0.059
Gravity with Light,1990,Kamasi Washington,Jazz,5.0,Happy,308,Washington Sessions Vol. 5,213,English,81.9,0.501,0.336,0.34,0.553,0.019
Paradise with Roads,2015,Diana Krall,Jazz,4.33,Calm,7,Krall Sessions Vol. 2,227,Instrumental,92.6,0.337,0.14,0.533,0.889,0.033
River in Horizon,2003,Arijit Singh,Bollywood,4.88,Romantic,63,Singh Sessions Vol. 5,197,Hindi,108.4,0.725,0.876,0.684,0.244,0.018
Waves and Echoes (Hip-Hop),2010,Travis Scott,Hip-Hop,3.81,Energetic,18,Scott Sessions Vol. 5,301,English,96.4,0.754,0.611,0.356,0.009,0.246
Love to Memories (Bollywood),2020,Sonu Nigam,Bollywood,4.85,Romantic,12,Nigam Sessions Vol. 3,207,Hindi,119.8,0.371,0.639,0.847,0.584,0.057
Rush of Rush,1999,BTS,K-Pop,4.57,Calm,4,BTS Sessions Vol. 1,162,Korean,119.3,0.29,0.784,0.615,0.361,0.106
Forever and Paradise,2009,Linkin Park,Rock,4.15,Energetic,26,Park Sessions Vol. 4,218,English,120.4,0.865,0.553,0.446,0.447,0.04
Again for Dreams,2024,Kanye West,Hip-Hop,3.97,Chill,9,West Sessions Vol. 4,230,English,110.2,0.63,0.778,0.526,0.011,0.364
Foo's Night for Moon,1990,Foo Fighters,Rock,4.14,Energetic,27,Fighters Sessions Vol. 1,232,English,85.4,0.866,0.78,0.43,0.0,0.045
Roads with Moon (Bollywood),1993,Shreya Ghoshal,Bollywood,4.4,Chill,11,Ghoshal Sessions Vol. 3,246,Hindi,132.2,0.601,0.583,0.646,0.171,0.115
SEVENTEEN's Echoes of Moon,2016,SEVENTEEN,K-Pop,3.77,Happy,16,SEVENTEEN Sessions Vol. 6,269,Korean,114.8,0.896,0.65,0.748,0.003,0.026
Heart of Run,2022,Kanye West,Hip-Hop,4.13,Energetic,35,West Sessions Vol. 1,225,English,91.0,0.785,0.588,0.269,0.0,0.157
Night and Stars (Pop),2005,Ariana Grande,Pop,3.93,Energetic,5,Grande Sessions Vol. 6,213,English,107.4,0.774,0.784,0.314,0.288,0.167
Sky in Home,2006,Dua Lipa,Pop,4.85,Romantic,12,Lipa Sessions Vol. 2,208,English,105.7,0.557,0.76,0.788,0.211,0.015
Glow of Love,2000,Calvin Harris,Electronic,4.22,Chill,30,Harris Sessions Vol. 2,169,Instrumental,132.7,0.812,0.875,0.501,0.069,0.075
Horizon in Glow,2015,Calvin Harris,Electronic,3.37,Energetic,16,Harris Sessions Vol. 3,202,Instrumental,147.4,0.899,0.712,0.315,0.0,0.101
Waves for Run,2011,Travis Scott,Hip-Hop,4.95,Melancholic,29,Scott Sessions Vol. 2,192,English,96.9,0.61,0.704,0.655,0.255,0.273
Hold the Alone,1998,Yiruma,Classical,3.53,Melancholic,4,Yiruma Sessions Vol. 6,245,Instrumental,64.8,0.346,0.293,0.331,0.91,0.072
Night with Dance,2009,A.R. Rahman,Bollywood,4.02,Motivational,11,Rahman Sessions Vol. 3,120,Hindi,115.8,0.673,0.634,0.536,0.415,0.0
Home the Forever,1995,Avicii,Electronic,3.83,Romantic,16,Avicii Sessions Vol. 3,184,English,118.3,0.834,0.734,0.556,0.044,0.029
Light with Run,2018,Kamasi Washington,Jazz,5.0,Calm,9,Washington Sessions Vol. 5,162,English,70.3,0.215,0.462,0.404,0.617,0.076
Rush the Moon,2024,Phoebe Bridgers,Indie,3.88,Chill,6,Bridgers Sessions Vol. 6,229,English,109.4,0.414,0.552,0.521,0.51,0.098
Dance for Alone,2019,Nicki Minaj,Hip-Hop,3.01,Calm,14,Minaj Sessions Vol. 4,197,English,86.0,0.736,0.646,0.6,0.129,0.212
Silence and Love,2016,Olivia Rodrigo,Pop,3.0,Motivational,15,Rodrigo Sessions Vol. 3,266,English,116.8,1.0,0.756,0.528,0.038,0.114
Feel for Horizon,2018,Arctic Monkeys,Indie,4.54,Sad,20,Monkeys Sessions Vol. 6,255,English,108.9,0.281,0.536,0.233,0.659,0.045
Gravity the Storm,2024,Lorde,Indie,4.64,Chill,15,Lorde Sessions Vol. 5,201,English,117.5,0.614,0.591,0.448,0.491,0.15
Night to Sky,2018,Lorde,Indie,4.57,Melancholic,19,Lorde Sessions Vol. 6,181,English,103.6,0.813,0.565,0.624,0.38,0.0
Echoes in Stars (Hip-Hop),2015,J. Cole,Hip-Hop,4.79,Energetic,31,Cole Sessions Vol. 1,139,English,93.0,0.83,0.542,0.473,0.069,0.269
Home with Waves,1996,Shreya Ghoshal,Bollywood,4.12,Motivational,9,Ghoshal Sessions Vol. 4,230,Hindi,111.6,0.638,0.731,0.444,0.262,0.056
Moon with Love,2005,A.R. Rahman,Bollywood,3.82,Melancholic,36,Rahman Sessions Vol. 6,237,Hindi,116.5,0.656,0.761,0.571,0.296,0.095
Again of Again (Rock),1995,Linkin Park,Rock,3.85,Melancholic,30,Park Sessions Vol. 5,226,English,122.3,0.793,0.414,0.568,0.168,0.067
Sun in Paradise (Pop),2005,Taylor Swift,Pop,4.42,Romantic,20,Swift Sessions Vol. 1,120,English,107.1,0.573,0.664,0.822,0.139,0.159
Roads the Hold,2012,Calvin Harris,Electronic,3.78,Happy,122,Harris Sessions Vol. 4,203,Instrumental,140.5,0.895,0.731,0.945,0.009,0.026
Storm for Hold,1991,David Guetta,Electronic,4.32,Energetic,37,Guetta Sessions Vol. 5,251,English,126.1,0.911,0.9,0.437,0.0,0.027
Again to Love,2008,Imagine Dragons,Rock,4.85,Calm,23,Dragons Sessions Vol. 6,175,English,109.5,0.652,0.551,0.472,0.243,0.091
Memories the Fire,2000,Diana Krall,Jazz,4.26,Chill,28,Krall Sessions Vol. 4,226,Instrumental,87.4,0.484,0.286,0.548,0.497,0.044
Night to Again,1993,Jamie Cullum,Jazz,4.53,Sad,31,Cullum Sessions Vol. 6,218,English,71.5,0.577,0.173,0.323,0.597,0.0
Forever of Stars,2002,TWICE,K-Pop,4.36,Happy,25,TWICE Sessions Vol. 3,147,Korean,99.9,0.683,0.616,0.705,0.182,0.059
Home the Heart (Pop),1998,The Weeknd,Pop,3.7,Romantic,16,Weeknd Sessions Vol. 5,268,English,127.3,0.42,0.664,0.78,0.369,0.106
Hold with Home,2019,Lorde,Indie,4.32,Chill,9,Lorde Sessions Vol. 3,219,English,107.4,0.553,0.615,0.566,0.693,0.037
Paradise for Heart,1997,Jamie Cullum,Jazz,4.6,Chill,17,Cullum Sessions Vol. 2,272,English,87.6,0.465,0.363,0.63,0.641,0.032
Memories in Storm (Latin),2014,Shakira,Latin,3.59,Chill,21,Shakira Sessions Vol. 1,245,Spanish,135.5,0.461,0.758,0.639,0.129,0.114
Run for Storm,1998,Shakira,Latin,4.7,Happy,105,Shakira Sessions Vol. 6,267,Spanish,103.6,0.676,0.752,0.923,0.128,0.075
Silence the Silence (Indie),1995,Tame Impala,Indie,4.28,Chill,3,Impala Sessions Vol. 1,227,English,88.3,0.727,0.587,0.504,0.634,0.113
Roads of Feel,2021,Rosalía,Latin,4.57,Happy,130,Rosalía Sessions Vol. 5,249,Spanish,116.1,0.789,0.528,0.666,0.022,0.183
Rush to Roads,2008,Jamie Cullum,Jazz,4.92,Chill,1,Cullum Sessions Vol. 2,200,Instrumental,91.1,0.442,0.416,0.516,0.698,0.138
Gravity the Run,1990,Bad Bunny,Latin,3.73,Melancholic,24,Bunny Sessions Vol. 1,250,Spanish,107.7,0.737,0.528,0.528,0.311,0.073
Home with Horizon (Hip-Hop),1992,Kendrick Lamar,Hip-Hop,4.36,Energetic,12,Lamar Sessions Vol. 4,237,English,93.4,0.767,0.601,0.234,0.0,0.048
Silence the Storm,1990,Avicii,Electronic,5.0,Happy,22,Avicii Sessions Vol. 3,268,Instrumental,108.5,0.789,0.717,0.65,0.056,0.098
Drake's Memories in Dance,1995,Drake,Hip-Hop,4.15,Melancholic,24,Drake Sessions Vol. 5,213,English,86.7,0.671,0.778,0.42,0.0,0.295
Home the Fire,2004,Kanye West,Hip-Hop,5.0,Calm,50,West Sessions Vol. 1,249,English,101.8,0.925,0.755,0.523,0.0,0.157
Roads to Dreams (Latin),2000,Rosalía,Latin,4.73,Chill,11,Rosalía Sessions Vol. 2,241,Spanish,110.8,0.545,0.827,0.538,0.0,0.106
Stars in Glow (Bollywood),1999,Arijit Singh,Bollywood,4.38,Chill,17,Singh Sessions Vol. 6,222,Hindi,133.3,0.414,0.832,0.585,0.516,0.084
Again in Rush,2000,Avicii,Electronic,4.39,Chill,93,Avicii Sessions Vol. 5,177,Instrumental,152.6,0.879,0.914,0.543,0.037,0.08
J.'s Heart with Moon (Hip-Hop),2008,J. Cole,Hip-Hop,4.22,Happy,43,Cole Sessions Vol. 4,225,English,111.6,0.715,0.592,0.735,0.074,0.421
Fire and Glow,2008,J. Cole,Hip-Hop,4.12,Motivational,85,Cole Sessions Vol. 5,212,English,108.1,0.69,0.79,0.634,0.231,0.258
Heart for Feel (Rock),1996,Linkin Park,Rock,4.64,Energetic,18,Park Sessions Vol. 5,149,English,108.2,0.779,0.503,0.508,0.243,0.026
Fire in Heart,2011,Olivia Rodrigo,Pop,4.36,Calm,46,Rodrigo Sessions Vol. 5,195,English,106.1,0.746,0.951,0.37,0.261,0.041
Light with Echoes,2015,Arijit Singh,Bollywood,4.13,Happy,11,Singh Sessions Vol. 4,208,Hindi,123.7,0.974,0.715,0.72,0.304,0.063
Silence with Echoes,2009,Taylor Swift,Pop,3.74,Happy,82,Swift Sessions Vol. 5,134,English,116.3,0.657,0.824,0.932,0.217,0.061
Lorde's Night the Stars,2017,Lorde,Indie,3.58,Melancholic,13,Lorde Sessions Vol. 2,177,English,101.7,0.516,0.68,0.11,0.638,0.076
Horizon to Home,2011,Drake,Hip-Hop,4.27,Chill,51,Drake Sessions Vol. 6,288,English,105.5,0.654,0.85,0.206,0.168,0.225
Sky to Forever,2016,Ed Sheeran,Pop,3.65,Melancholic,15,Sheeran Sessions Vol. 1,205,English,106.2,0.749,0.721,0.433,0.376,0.164
Love to Hold,2012,Norah Jones,Jazz,3.94,Happy,4,Jones Sessions Vol. 3,120,Instrumental,122.7,0.592,0.407,0.304,0.702,0.018
Moon of Paradise,2009,Kamasi Washington,Jazz,4.1,Chill,15,Washington Sessions Vol. 3,191,English,97.6,0.471,0.333,0.59,0.52,0.103
Glow in Memories,2000,Norah Jones,Jazz,4.82,Calm,86,Jones Sessions Vol. 1,240,Instrumental,84.9,0.355,0.364,0.547,0.588,0.0
Heart in Home,2000,Drake,Hip-Hop,3.78,Happy,48,Drake Sessions Vol. 3,236,English,99.1,0.703,0.569,0.711,0.344,0.428
Love of Home,2025,TWICE,K-Pop,3.88,Energetic,41,TWICE Sessions Vol. 2,205,Korean,117.0,0.8,0.838,0.434,0.0,0.046
Hold to Run (Classical),2005,Hans Zimmer,Classical,3.84,Sad,21,Zimmer Sessions Vol. 1,242,Instrumental,81.6,0.14,0.265,0.273,0.859,0.019
Feel for Love,2009,Norah Jones,Jazz,4.38,Melancholic,66,Jones Sessions Vol. 2,186,English,86.6,0.439,0.539,0.493,0.55,0.057
Love and Run,2013,Linkin Park,Rock,4.21,Chill,40,Park Sessions Vol. 5,120,English,106.1,0.922,0.584,0.657,0.159,0.094
Night of Love,2001,Rosalía,Latin,4.06,Happy,2,Rosalía Sessions Vol. 2,217,Spanish,94.5,0.703,0.876,1.0,0.151,0.037
Heart and Home,2009,Imagine Dragons,Rock,4.52,Happy,20,Dragons Sessions Vol. 4,201,English,114.5,0.699,0.635,0.617,0.303,0.046
Sky in Echoes (Pop),1992,Olivia Rodrigo,Pop,4.15,Happy,8,Rodrigo Sessions Vol. 1,190,English,114.7,0.814,0.764,0.866,0.318,0.063
Alone the Stars,2016,Red Hot Chili Peppers,Rock,4.65,Romantic,30,Peppers Sessions Vol. 6,209,English,112.0,0.729,0.557,0.549,0.128,0.054
Forever and Memories (Latin),1990,J Balvin,Latin,4.54,Romantic,8,Balvin Sessions Vol. 3,231,Spanish,102.5,0.546,0.701,0.87,0.0,0.086
Echoes and Run,1997,Kamasi Washington,Jazz,3.98,Calm,15,Washington Sessions Vol. 2,193,Instrumental,96.5,0.385,0.536,0.474,0.526,0.035
River the Dance (K-Pop),2025,SEVENTEEN,K-Pop,4.43,Chill,30,SEVENTEEN Sessions Vol. 2,214,Korean,110.2,0.676,0.809,0.684,0.027,0.184
Again and Light,2011,Kamasi Washington,Jazz,3.93,Happy,12,Washington Sessions Vol. 3,275,Instrumental,92.4,0.737,0.584,0.463,0.361,0.082
Run in Light,2011,SEVENTEEN,K-Pop,3.85,Happy,22,SEVENTEEN Sessions Vol. 2,236,Korean,92.2,0.696,0.446,0.584,0.215,0.129
Alone for Dance,2000,The 1975,Indie,4.77,Chill,32,1975 Sessions Vol. 3,219,English,125.3,0.477,0.627,0.595,0.502,0.094
Alone with Heart (Jazz),1991,Jamie Cullum,Jazz,4.48,Chill,19,Cullum Sessions Vol. 1,232,Instrumental,76.8,0.621,0.379,0.49,0.584,0.081
Sky the Silence,2000,Foo Fighters,Rock,3.2,Sad,172,Fighters Sessions Vol. 3,165,English,107.1,0.715,0.862,0.499,0.421,0.103
Stars and Love,2002,SEVENTEEN,K-Pop,4.0,Happy,18,SEVENTEEN Sessions Vol. 4,170,Korean,118.8,0.85,0.792,0.868,0.287,0.064
